 

stn;time;gre000z0;tre200s0;sre000z0
STG;202406201420;551;23.0;8
STG;202406201430;521;23.2;7
STG;202406201440;549;23.3;7
STG;202406201450;412;22.0;3
STG;202406201500;428;21.5;3
STG;202406201510;424;21.3;2
STG;202406201520;298;21.6;0
STG;202406201530;203;21.4;0
STG;202406201540;230;21.8;0
STG;202406201550;266;22.1;0
STG;202406201600;338;22.1;3
STG;202406201610;230;21.9;0
STG;202406201620;229;21.4;0
STG;202406201630;206;21.1;0
STG;202406201640;170;20.9;0
STG;202406201650;200;21.2;0
STG;202406201700;207;21.1;0
STG;202406201710;190;21.3;2
STG;202406201720;234;21.4;7
STG;202406201730;130;20.8;0
STG;202406201740;91;20.5;0
STG;202406201750;64;20.1;0
STG;202406201800;45;20.1;0
STG;202406201810;30;19.9;0
STG;202406201820;13;19.9;0
STG;202406201830;14;19.9;0
STG;202406201840;13;19.9;0
STG;202406201850;5;19.8;0
STG;202406201900;5;19.8;0
STG;202406201910;1;19.8;0
STG;202406201920;0;19.8;0
STG;202406201930;0;20.0;0
STG;202406201940;0;19.9;0
STG;202406201950;0;19.9;0
STG;202406202000;0;19.5;0
STG;202406202010;0;20.5;0
STG;202406202020;0;20.7;0
STG;202406202030;0;20.3;0
STG;202406202040;0;19.2;0
STG;202406202050;0;19.0;0
STG;202406202100;0;19.1;0
STG;202406202110;0;19.1;0
STG;202406202120;0;19.4;0
STG;202406202130;0;19.2;0
STG;202406202140;0;19.0;0
STG;202406202150;0;18.8;0
STG;202406202200;0;18.2;0
STG;202406202210;0;18.5;0
STG;202406202220;0;19.4;0
STG;202406202230;0;19.3;0
STG;202406202240;0;18.9;0
STG;202406202250;0;18.6;0
STG;202406202300;0;18.6;0
STG;202406202310;0;18.6;0
STG;202406202320;0;19.6;0
STG;202406202330;0;19.3;0
STG;202406202340;0;18.9;0
STG;202406202350;0;18.1;0
STG;202406210000;0;18.7;0
STG;202406210010;0;18.1;0
